author_name
C Knoblock
Y Arens
C Hsu
B Liming
M Ren
P Mukesh
A Singhal
P Douglas
S Kerr
P Harvey
F Adviser
J Ponte
W Bruce
R Chandrasekar
B Srinivas
Y Jing
E Brown
T Rajashekar
E Freeman
S Fertig
A Pannu
K Sycara
D Oard
D Lewis
C Hafner
N Fridman
B Yuwono
D Lee
J Callan
J Croft
E Moss
A Hauptmann
M Witbrock
D Aronow
S Soderland
B Cahoon
K McKinley
T Hofmann
M Littman
F Jiang
D Bowman
L Hodges
J Bolter
M Keim
D Madigan
P Sheridan
J Ballerini
T Huibers
P Bruza
B Jeong
E Omiecinski
B Rubin
J Naughton
H Helbig
C Gnoerlich
D Menke
H Fujii
A Ram
L Hunter
S Kaski
T Honkela
K Lagus
T Kohonen
B Bartell
G Cottrell
R Belew
A Mendelzon
G Mihaila
T Milo
T Yan
H GarciaMolina
G Salton
C Buckley
M Mitra
J Broglio
S Harding
T Joachims
K Knowles
D Freitag
R Krovetz
M Ringuette
D Beeferman
A Berger
J Lafferty
H Wactlar
D Haines
U Manber
S Wu
D Cutting
D Karger
J Pedersen
J Tukey
L Ballesteros
B Croft
C Papadimitriou
P Raghavan
H Tamaki
S Vempala
J Xu
M Hearst
Z Lu
G Towell
E Voorhees
N Gupta
B JohnsonLaird
J Daniels
E Rissland
J Allan
T VanDerWeide
J Boyan
W Cohen
J Ambite
A Veerasamy
S Hudson
S Navathe
K Jones
J Puzicha
L Gravano
H GarcaMolina
A Tomasic
A Ambainis
W Blustein
R Glushko
I Moulinier
G Raskinis
J Ganascia
V Magnus
S Dumais
C Plaunt
B Rehder
T Landauer
F Korn
M Goldszmidt
J Kleinberg
E Riloff
N Noy
C Faloutsos
D Clouse
C Wills
M Murray
R Thangarajah
H Ahonen
O Heinonen
M Klemettinen
A Inkeri
W Gale
K Church
D Yarowsky
R Burke
K Hammond
V Kulyukin
S Lytinen
N Tomuro
S Schoenberg
L Birnbaum
G Collins
V Lavrenko
R Papka
R Jones
K Seymore
S Slattery
M Siegler
I Bruce
C VanRijsbergen
A Tombros
M Sanderson
H Schutze
R Picard
J Martin
B Shneiderman
J Carbonell
Y Yang
R Frederking
R Brown
Y Geng
G Grefenstette
A Moffat
N Sharman
J Zobel
T Watson
T Rakowski
A Ghias
J Logan
D Chamberlin
B Smith
G Marchionini
D Kuokka
L Harada
P Scheytt
P Kennedy
T Kolda
P Dianne
W Chang
D Murthy
Y Mei
A Zhang
D Mladenic
Y Gertner
S Goldwasser
T Malkin
G Flammia
V Zue
B Chor
N Gilboa
M Naor
W Greiff
S Weiss
S Kasif
L Chen
R Swan
K Koskenniemi
B Michael
J Franklin
D Srivastava
B Jonsson
M Franklin
M Fang
N Shivakumar
R Motwani
J Ullman
B Velez
R Weiss
M Sheldon
D Gifford
M Wechsler
P Schauble
J Karlgren
C Cardie
S Mardis
E Brill
M Choy
M Kwan
H Leong
M Wolverton
M Lenz
A Hubner
M Kunze
E Bloedorn
I Mani
T Richard
B Kero
S Tsur
C Lin
E Hovy
G Nutt
F Berger
J David
K Joshua
D Kramer
L Andrea
S Arthur
C Smith
L Rowe
J Boreczky
C Eads
A Bestavros
M Langheinrich
A Prof
D Ipke
W Prof
O Etzioni
L Raschid
Y Chang
B Dorr
M Califf
D Pierce
W Lehnert
I Newswire
D Radev
K McKeown
S Wermter
G Scheler
R Mooney
H Lytinen
D Fisher
J Aseltine
D Hardy
M Schwartz
S Kanade
G Neumann
R Backofen
J Baur
M Becker
C Braun
N Hill
R Yangarber
R Grishman
A Kehler
M Craven
D DiPasquo
A McCallum
T Mitchell
K Nigam
P Bennett
L Roy
S Harabagiu
D Member
S Moldovan
M Johnston
F Busa
J Cowie
T Wakao
L Guthrie
W Jin
J Pustejovsky
S Waterman
J Furnkranz
A Lorenzen
Y Zhang
J Fessler
N Clinthorne
W Leslie
R Kresge
I Muslea
S Minton
A Meyers
C Macleod
L Barrett
R Reeves
N Kushmerick
D Weld
R Doorenbos
N Ashish
D Koller
S Thrun
M Sahami
D Eric
T Kalt
S Chakrabarti
P Indyk
S Scott
S Matwin
P Venable
D Harman
J Yang
P Pai
V Honavar
L Miller
L Douglas
B Andrew
K McCallum
J Klavans
M Kan
M Grobelnik
M Baldonado
C Chang
A Paepcke
T Mullen
M Wellman
G Kopec
C Plaisant
A Komlodi
B Cheng
R Acharya
C Sibata
J French
C Viles
J Vidal
P Weinstein
E Durfee
D Andresen
T Yang
O Egecioglu
O Ibarra
T Smith
A Powell
W Creighton
X Cheng
R Dolin
M Neary
S Prabhakar
K Ravi
K Wu
D Agrawal
A El
A Freeston
A Singh
J Su
D Wu
A Ambuj
W Birmingham
T Minka
S Brin
J Davis
G Kaiser
S Dossick
W Jiang
R Cook
D Wilder
B Heikkinen
P Kilpelinen
W Walsh
L Carver
C Fischer
J Frew
M Goodchild
R Kothuri
M Larsgaard
B Manjunath
D Nebert
J Simpson
Q Zheng
V Holmedahl
H Zhu
D Watson
K Divyakant
A Amr
E Abbadi
S Terrence
R Smith
R Fateman
S Park
A Nica
E Rundensteiner
O Zaane
M Xin
J Han
E Glover
A Arora
D Kiskis
R Daniel
J Lagoze
D Stotts
J Smith
P Dewan
K Jeffay
F Donalson
D Smith
S Smith
J Weiss
C William
B Bhargava
M Annamalai
R Prince
H Tang
Y Zhao
S Adal
K Candan
S Chen
K Erol
V Subrahmanian
R Rivest
L Qiao
K Nahrstedt
M Ernst
G Yuval
O Goldreich
S Halevi
J Gray
A Kshemkalyani
M Matyas
M Peyravian
G Tsudik
E Zadok
I Badulescu
A Shender
A Shamir
L Adleman
T Braun
C Diot
M Blaze
J Millen
H Ko
R Canetti
C Dwork
R Ostrovsky
E Caspi
N Weaver
M Strauss
Z Dang
R Kemmerer
T Kozlowski
S Smolka
M Bellare
A Sahai
