author_name,paper_id
C Knoblock,19826
Y Arens,19826
C Hsu,19826
B Liming,80992
M Ren,80992
P Mukesh,80992
A Singhal,80992
P Douglas,80992
S Kerr,80992
P Harvey,80992
F Adviser,80992
J Ponte,1109936
W Bruce,1109936
R Chandrasekar,1121282
B Srinivas,1121282
Y Jing,4527
W Bruce,4527
E Brown,22112
T Rajashekar,33991
W Bruce,33991
E Freeman,98029
S Fertig,98029
A Pannu,128796
K Sycara,128796
A Pannu,138991
K Sycara,138991
D Oard,249849
D Lewis,5050
C Hafner,577487
N Fridman,577487
B Yuwono,520640
D Lee,520640
E Brown,29459
J Callan,29459
W Bruce,29459
J Croft,29459
E Moss,29459
A Hauptmann,1103471
M Witbrock,1103471
D Aronow,181487
S Soderland,181487
J Ponte,181487
B Cahoon,29460
K McKinley,29460
T Hofmann,1108185
M Littman,1108525
F Jiang,1108525
D Bowman,1108525
L Hodges,1108525
J Bolter,1108525
M Keim,521840
D Lewis,521840
D Madigan,521840
P Sheridan,186019
J Ballerini,186019
T Huibers,692699
P Bruza,692699
B Jeong,29470
E Omiecinski,29470
B Rubin,1134753
J Naughton,1134753
H Helbig,1135102
C Gnoerlich,1135102
D Menke,1135102
W Bruce,18452
J Croft,18452
H Fujii,18452
A Ram,129558
L Hunter,129558
S Kaski,23449
T Honkela,23449
K Lagus,23449
T Kohonen,23449
B Bartell,282
G Cottrell,282
R Belew,282
A Mendelzon,3286
G Mihaila,3286
T Milo,3286
T Yan,3516
H GarciaMolina,3516
G Salton,19913
A Singhal,19913
C Buckley,19913
M Mitra,19913
J Callan,4518
W Bruce,4518
J Broglio,4518
J Callan,6840
W Bruce,6840
S Harding,6840
T Joachims,9086
D Lewis,1109485
K Knowles,1109485
D Lewis,1109485
D Lewis,1109485
D Freitag,16217
J Callan,11036
W Bruce,11036
R Krovetz,16917
D Lewis,12956
M Ringuette,12956
D Beeferman,24023
A Berger,24023
J Lafferty,24023
H Wactlar,24046
A Hauptmann,24046
M Witbrock,24046
D Haines,20373
W Bruce,20373
U Manber,20373
S Wu,20373
D Cutting,34897
D Karger,34897
J Pedersen,34897
J Tukey,34897
L Ballesteros,39450
B Croft,39450
C Papadimitriou,40735
P Raghavan,40735
H Tamaki,40735
S Vempala,40735
J Callan,19896
J Xu,47400
W Bruce,47400
D Lewis,88348
M Hearst,100336
J Callan,1106310
Z Lu,1106310
W Bruce,1106310
M Hearst,101929
G Towell,844031
E Voorhees,844031
N Gupta,844031
B JohnsonLaird,844031
J Daniels,103548
E Rissland,103551
J Daniels,103551
C Buckley,18447
G Salton,18447
J Allan,18447
A Singhal,18447
D Lewis,104438
W Bruce,104438
P Bruza,106531
T VanDerWeide,106531
P Bruza,106531
T VanDerWeide,106531
J Boyan,107173
D Freitag,107173
T Joachims,107173
W Cohen,107176
C Knoblock,310839
J Ambite,310839
A Veerasamy,116228
S Hudson,116228
S Navathe,116228
K Jones,117391
T Hofmann,125090
J Puzicha,125090
L Gravano,4524
H GarcaMolina,4524
A Tomasic,4524
A Ambainis,150822
W Blustein,154751
J Allan,181485
R Glushko,181485
I Moulinier,190298
G Raskinis,190298
J Ganascia,190298
V Magnus,190298
S Dumais,4153
M Hearst,24033
C Plaunt,24033
E Brown,134919
J Callan,134919
W Bruce,134919
B Rehder,132729
M Littman,132729
S Dumais,132729
T Landauer,132729
F Korn,240829
A Tomasic,32721
H GarciaMolina,32721
M Goldszmidt,311332
M Hearst,181511
J Kleinberg,659334
E Riloff,262331
N Noy,577505
C Faloutsos,325457
D Oard,325457
D Clouse,325457
G Cottrell,325457
P Bruza,693417
T Huibers,693417
C Wills,362910
M Murray,362910
R Thangarajah,362910
H Ahonen,262323
O Heinonen,262323
M Klemettinen,262323
A Inkeri,262323
T Honkela,23433
S Kaski,23433
K Lagus,23433
T Kohonen,23433
W Gale,163698
K Church,163698
D Yarowsky,163698
R Burke,9075
K Hammond,9075
V Kulyukin,9075
S Lytinen,9075
N Tomuro,9075
S Schoenberg,9075
J Daniels,272344
E Rissland,272344
D Lewis,16220
L Birnbaum,16220
G Collins,16220
W Cohen,290565
A Singhal,797120
G Salton,797120
J Xu,1102546
J Callan,1102546
J Allan,1103030
V Lavrenko,1103030
R Papka,1103030
A Hauptmann,1103045
R Jones,1103045
K Seymore,1103045
S Slattery,1103045
M Witbrock,1103045
M Siegler,1103045
D Lewis,5045
W Gale,5045
I Bruce,5045
C VanRijsbergen,5045
A Tombros,1103282
M Sanderson,1103282
Z Lu,312711
K McKinley,312711
B Cahoon,312711
H Schutze,1104003
J Pedersen,1104003
R Picard,1152163
J Martin,1104354
F Korn,1104354
B Shneiderman,1104354
J Carbonell,132724
Y Yang,132724
R Frederking,132724
R Brown,132724
Y Geng,132724
D Lee,132724
G Grefenstette,1104914
A Moffat,1105286
N Sharman,1105286
J Zobel,1105286
T Watson,1105510
T Rakowski,1105510
A Ghias,1105526
J Logan,1105526
D Chamberlin,1105526
B Smith,1105526
D Oard,208320
