height,gender,predicted_gender,height_quantized
155.80549392402364,F,F,155.5
148.33276313016466,F,F,148.0
148.17272447592296,F,F,148.0
153.37177300907746,F,F,153.0
148.68106125001708,F,F,148.5
151.90416040695655,F,F,151.5
156.95790324135086,F,F,156.5
147.58781105552245,F,F,147.5
152.32430975443293,F,F,152.0
150.12901133337826,F,F,150.0
156.76675474808007,F,F,156.5
161.9003674066459,F,M,161.5
152.00819418267795,F,F,152.0
159.01592120607427,F,F,159.0
151.96722478656798,F,F,151.5
147.29599410249787,F,F,147.0
156.92168555419372,F,F,156.5
151.74793564159094,F,F,151.5
151.8062733702453,F,F,151.5
145.2715829405405,F,F,145.0
154.0504486862869,F,F,154.0
151.8023697821561,F,F,151.5
151.21921638931028,F,F,151.0
149.7640650333699,F,F,149.5
154.2506467663759,F,F,154.0
151.66399486788143,F,F,151.5
142.7710292610951,F,F,142.5
156.71576788382976,F,F,156.5
157.38975582433852,F,F,157.0
158.82894890923626,F,M,158.5
145.8064788021628,F,F,145.5
142.4844402413782,F,F,142.0
159.89541638793582,F,M,159.5
142.35236203143043,F,F,142.0
155.11043788063267,F,F,155.0
150.96198775284694,F,F,150.5
140.32164863279698,F,F,140.0
150.55408387221308,F,F,150.5
154.36780363310118,F,F,154.0
154.7093465787039,F,F,154.5
144.94580607991256,F,F,144.5
152.82979730582483,F,F,152.5
144.57034547718393,F,F,144.5
153.64814221753633,F,F,153.5
147.24249925255523,F,F,147.0
151.14139092334293,F,F,151.0
153.8516031877283,F,F,153.5
156.8041389384762,F,F,156.5
156.84930709533975,F,F,156.5
148.77756918775796,F,F,148.5
151.04232731467948,F,F,151.0
158.1309828070705,F,M,158.0
150.4975979947224,F,F,150.0
144.44395885812912,F,F,144.0
148.6216436621906,F,F,148.5
143.87023129465086,F,F,143.5
154.38712563656708,F,F,154.0
152.83362565203586,F,F,152.5
161.5669408793159,F,M,161.5
150.243332842986,F,F,150.0
155.6758991593994,F,F,155.5
163.71657514920201,F,M,163.5
157.88606500828118,F,F,157.5
153.99685466164613,F,F,153.5
144.03561542176024,F,F,144.0
150.81548629075778,F,F,150.5
165.70276534608496,F,M,165.5
149.48550722306953,F,F,149.0
151.96505628526185,F,F,151.5
147.82336129217137,F,F,147.5
150.2155603967403,F,F,150.0
135.65963588322316,F,F,135.5
152.61250906244106,F,F,152.5
156.19954218827672,F,F,156.0
156.72918665774006,F,F,156.5
143.3762420945504,F,F,143.0
155.76120610033786,F,F,155.5
150.19559875612092,F,F,150.0
153.44880702688752,F,F,153.0
159.42290501443733,F,F,159.0
